# file...... models/switch_current_A_ns3.csv
# date...... Fri Oct 30 15:46:17 2015
# user...... devendrashelar7
# host...... (null)
# target.... switch 11
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_A.real,current_in_A.imag
2000-01-01 00:00:00 EST,+7.50004,-3.33349
2000-01-01 00:00:01 EST,+3.75,-1.66666
2000-01-01 00:00:02 EST,+7.50004,-3.33349
2000-01-01 00:00:03 EST,+3.75,-1.66666
2000-01-01 00:00:04 EST,+7.50004,-3.33349
2000-01-01 00:00:05 EST,+3.75,-1.66666
2000-01-01 00:00:06 EST,+7.50004,-3.33349
2000-01-01 00:00:07 EST,+3.75,-1.66666
2000-01-01 00:00:08 EST,+7.50004,-3.33349
2000-01-01 00:00:09 EST,+3.75,-1.66666
